MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,TARGET,OriginalDataSortOrder,Latitude,Longitude,StreetAddress_Full,ZipCode_Country,ZipCode_Full,ZipCode_FirstFive,ZipCode_LastFour,ZipCode_NearestApproximation
2.6033,52,5.465454545,1.083636364,690,2.509090909,1.629,20,-122.27,37.84,"Super Stop, 55th Street, Longfellow, Oakland, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
1.3578,40,4.524096386,1.108433735,409,2.463855422,1.475,21,-122.27,37.85,"Hair Salon & Sankofa Braiding Academy, 3217, Adeline Street, Lorin, Berkeley, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
1.7135,42,4.478142077,1.00273224,929,2.538251366,1.598,22,-122.27,37.85,"Hair Salon & Sankofa Braiding Academy, 3217, Adeline Street, Lorin, Berkeley, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
1.725,52,5.09623431,1.131799163,1015,2.123430962,1.139,23,-122.27,37.84,"Super Stop, 55th Street, Longfellow, Oakland, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
2.1806,52,5.193846154,1.036923077,853,2.624615385,0.997,24,-122.27,37.84,"Super Stop, 55th Street, Longfellow, Oakland, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
2.6,52,5.27014218,1.035545024,1006,2.383886256,1.326,25,-122.27,37.84,"Super Stop, 55th Street, Longfellow, Oakland, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
2.4038,41,4.495798319,1.033613445,317,2.663865546,1.075,26,-122.28,37.85,"66th Street, Harmon Tract, Berkeley, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.4597,49,4.728033473,1.020920502,607,2.539748954,0.938,27,-122.28,37.85,"66th Street, Harmon Tract, Berkeley, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
1.808,52,4.780856423,1.060453401,1102,2.77581864,1.055,28,-122.28,37.85,"66th Street, Harmon Tract, Berkeley, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
1.6424,50,4.401691332,1.040169133,1131,2.391120507,1.089,29,-122.28,37.84,"Aileen Street, Golden Gate, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
1.6875,52,4.703225806,1.032258065,395,2.548387097,1.32,30,-122.28,37.84,"Aileen Street, Golden Gate, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
1.9274,49,5.068783069,1.182539683,863,2.283068783,1.223,31,-122.28,37.84,"Aileen Street, Golden Gate, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
1.9615,52,4.882086168,1.090702948,1168,2.648526077,1.152,32,-122.28,37.84,"Aileen Street, Golden Gate, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
1.7969,48,5.737313433,1.220895522,1026,3.062686567,1.104,33,-122.27,37.84,"Super Stop, 55th Street, Longfellow, Oakland, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
1.375,49,5.030395137,1.112462006,754,2.291793313,1.049,34,-122.27,37.83,"Sacred Heart School, 41st Street, Emeryville, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
2.7303,51,4.972014925,1.070895522,1258,2.347014925,1.097,35,-122.27,37.83,"Sacred Heart School, 41st Street, Emeryville, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
1.4861,49,4.602272727,1.068181818,570,2.159090909,0.972,36,-122.27,37.83,"Sacred Heart School, 41st Street, Emeryville, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
1.0972,48,4.807486631,1.155080214,987,2.639037433,1.045,37,-122.27,37.83,"Sacred Heart School, 41st Street, Emeryville, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
1.4103,52,3.749379653,0.967741935,901,2.23573201,1.039,38,-122.28,37.83,"Pak N Save, 3889, San Pablo Avenue, Emeryville, Alameda County, California, 94608, USA","94608, USA",94608,94608,-,-
3.48,52,4.757281553,1.067961165,689,2.229773463,1.914,39,-122.26,37.83,"Webster Street, Mosswood, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.5898,52,3.494252874,1.027298851,1377,1.978448276,1.76,40,-122.26,37.83,"Webster Street, Mosswood, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.0978,52,4.215189873,1.060759494,946,2.394936709,1.554,41,-122.26,37.83,"Webster Street, Mosswood, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
1.2852,51,3.759036145,1.248995984,517,2.076305221,1.5,42,-122.26,37.83,"Webster Street, Mosswood, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
1.025,49,3.772486772,1.068783069,462,2.444444444,1.188,43,-122.26,37.84,"Oakland Department of Motor Vehicles, 5300, Claremont Avenue, Temescal, Oakland, Alameda County, California, 94618, USA","94618, USA",94618,94618,-,-
3.9643,52,4.797979798,1.02020202,467,2.358585859,1.888,44,-122.26,37.84,"Oakland Department of Motor Vehicles, 5300, Claremont Avenue, Temescal, Oakland, Alameda County, California, 94618, USA","94618, USA",94618,94618,-,-
3.0125,52,4.941780822,1.065068493,660,2.260273973,1.844,45,-122.26,37.83,"Webster Street, Mosswood, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.6768,52,4.335078534,1.09947644,718,1.879581152,1.823,46,-122.26,37.83,"Webster Street, Mosswood, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.026,50,3.700657895,1.059210526,616,2.026315789,1.425,47,-122.26,37.83,"Webster Street, Mosswood, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
1.7348,43,3.980237154,1.233201581,558,2.205533597,1.375,48,-122.27,37.82,"Grove Shafter Freeway, Hoover-Foster, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.9506,40,3.9,1.21875,423,2.64375,1.875,49,-122.26,37.82,"Independent Factory Automotive, Brook Street, Oak Glen Park, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
1.775,40,2.6875,1.065340909,700,1.988636364,1.125,50,-122.27,37.82,"Grove Shafter Freeway, Hoover-Foster, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.9218,21,2.0456621,1.034246575,735,1.678082192,1.719,51,-122.27,37.82,"Grove Shafter Freeway, Hoover-Foster, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.5045,43,4.58968059,1.12039312,1061,2.606879607,0.938,52,-122.27,37.82,"Grove Shafter Freeway, Hoover-Foster, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.1108,41,4.473611111,1.184722222,1959,2.720833333,0.975,53,-122.27,37.82,"Grove Shafter Freeway, Hoover-Foster, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.2475,52,4.075,1.14,1162,2.905,1.042,54,-122.27,37.82,"Grove Shafter Freeway, Hoover-Foster, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.6098,52,5.021459227,1.008583691,701,3.008583691,0.875,55,-122.28,37.82,"Linden Street, Hoover-Foster, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.4113,52,4.295454545,1.104545455,576,2.618181818,0.831,56,-122.28,37.82,"Linden Street, Hoover-Foster, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.5057,52,4.77992278,1.111969112,622,2.401544402,0.875,57,-122.28,37.82,"Linden Street, Hoover-Foster, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.8172,52,6.102459016,1.37295082,728,2.983606557,0.853,58,-122.28,37.82,"Linden Street, Hoover-Foster, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.2171,52,4.5625,1.121710526,1074,3.532894737,0.803,59,-122.28,37.82,"Linden Street, Hoover-Foster, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
2.5625,2,2.771929825,0.754385965,94,1.649122807,0.6,60,-122.29,37.82,"Willow Street, West Oakland, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
3.3929,52,5.994652406,1.128342246,554,2.962566845,0.757,61,-122.29,37.83,"TNT's Screen Printing, Park Avenue, Emeryville, Alameda County, California, 94609, USA","94609, USA",94609,94609,-,-
6.1183,49,5.869565217,1.260869565,86,3.739130435,0.75,62,-122.29,37.82,"Willow Street, West Oakland, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.9011,50,6.229508197,1.557377049,377,3.090163934,0.861,63,-122.29,37.81,"14th Street, West Oakland, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.191,52,7.698113208,1.490566038,521,3.27672956,0.761,64,-122.3,37.81,"10th Street Woman Mural, 10th Street, Lower Bottoms, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
2.5938,48,6.22556391,1.368421053,392,2.947368421,0.735,65,-122.3,37.81,"10th Street Woman Mural, 10th Street, Lower Bottoms, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.1667,52,5.401069519,1.117647059,604,3.229946524,0.784,66,-122.3,37.81,"10th Street Woman Mural, 10th Street, Lower Bottoms, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.8056,48,4.38253012,1.06626506,788,2.373493976,0.844,67,-122.3,37.81,"10th Street Woman Mural, 10th Street, Lower Bottoms, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
2.6094,52,6.986394558,1.659863946,492,3.346938776,0.813,68,-122.29,37.8,"Middle Harbor Road, South Prescott, Oakland, Alameda County, California, 94501, USA","94501, USA",94501,94501,-,-
1.8516,52,6.975609756,1.329268293,274,3.341463415,0.85,69,-122.3,37.81,"10th Street Woman Mural, 10th Street, Lower Bottoms, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.9802,46,4.584288052,1.05400982,1823,2.983633388,1.292,70,-122.29,37.81,"14th Street, West Oakland, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.7719,26,6.047244094,1.196850394,392,3.086614173,0.825,71,-122.29,37.81,"14th Street, West Oakland, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.7286,46,3.375451264,1.072202166,582,2.101083032,0.952,72,-122.29,37.81,"14th Street, West Oakland, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.75,49,5.552631579,1.342105263,560,3.684210526,0.75,73,-122.29,37.81,"14th Street, West Oakland, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.4999,46,1.714285714,0.571428571,18,2.571428571,0.675,74,-122.29,37.81,"14th Street, West Oakland, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
2.483,20,6.278195489,1.210526316,290,2.180451128,1.375,75,-122.29,37.81,"14th Street, West Oakland, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.9241,17,2.817767654,1.0523918,762,1.735763098,1.775,76,-122.28,37.81,"Oak Center I Apartments, 1601, Market Street, San Pablo Gateway, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
2.4464,36,5.724950884,1.104125737,1236,2.428290766,1.021,77,-122.28,37.81,"Oak Center I Apartments, 1601, Market Street, San Pablo Gateway, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.1111,19,5.830917874,1.173913043,721,3.483091787,1.083,78,-122.28,37.81,"Oak Center I Apartments, 1601, Market Street, San Pablo Gateway, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.8026,23,5.369230769,1.150769231,1054,3.243076923,1.125,79,-122.29,37.81,"14th Street, West Oakland, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
2.0114,38,4.412903226,1.135483871,344,2.219354839,1.313,80,-122.28,37.8,"42B, Nimitz Freeway, Jack London Square, Oakland, Alameda County, California, 94501, USA","94501, USA",94501,94501,-,-
1.5,17,3.197231834,1,609,2.107266436,1.625,81,-122.28,37.81,"Oak Center I Apartments, 1601, Market Street, San Pablo Gateway, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.1667,52,3.75,1,183,3.267857143,1.125,82,-122.27,37.81,"Great Western Power Co;Touchstone Climbing: Great Western Power Company, 520, 20th Street, Uptown, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.5208,52,3.908045977,1.114942529,200,2.298850575,1.125,83,-122.28,37.81,"Oak Center I Apartments, 1601, Market Street, San Pablo Gateway, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.8075,52,2.490322581,1.058064516,346,2.232258065,1.375,84,-122.28,37.81,"Oak Center I Apartments, 1601, Market Street, San Pablo Gateway, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.8088,35,5.609467456,1.088757396,467,2.763313609,1.188,85,-122.28,37.81,"Oak Center I Apartments, 1601, Market Street, San Pablo Gateway, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
2.4083,52,6.72173913,1.243478261,377,3.27826087,0.982,86,-122.28,37.81,"Oak Center I Apartments, 1601, Market Street, San Pablo Gateway, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.977,40,2.315789474,1.186842105,582,1.531578947,1.188,87,-122.27,37.81,"Great Western Power Co;Touchstone Climbing: Great Western Power Company, 520, 20th Street, Uptown, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.76,10,2.651515152,1.054545455,546,1.654545455,1.625,88,-122.27,37.81,"Great Western Power Co;Touchstone Climbing: Great Western Power Company, 520, 20th Street, Uptown, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.9722,10,2.692307692,1.076923077,125,3.205128205,1.375,89,-122.27,37.8,"Milton Shoong Building, 10th Street, Chinatown, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
1.2434,52,2.929411765,0.917647059,396,4.658823529,5.00001,90,-122.27,37.8,"Milton Shoong Building, 10th Street, Chinatown, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
2.0938,16,2.745856354,1.082872928,800,2.209944751,1.625,91,-122.27,37.8,"Milton Shoong Building, 10th Street, Chinatown, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
0.8668,52,2.443181818,0.988636364,904,10.27272727,1.375,92,-122.28,37.8,"42B, Nimitz Freeway, Jack London Square, Oakland, Alameda County, California, 94501, USA","94501, USA",94501,94501,-,-
0.75,52,2.823529412,0.911764706,191,5.617647059,1.625,93,-122.28,37.8,"42B, Nimitz Freeway, Jack London Square, Oakland, Alameda County, California, 94501, USA","94501, USA",94501,94501,-,-
2.6354,27,3.493377483,1.149006623,718,2.377483444,1.875,94,-122.27,37.79,"Eve's Waterfront, 15, Embarcadero West, Jack London Square, Oakland, Alameda County, California, 94501, USA","94501, USA",94501,94501,-,-
1.8477,39,3.672376874,1.334047109,1327,2.841541756,1.792,95,-122.27,37.8,"Milton Shoong Building, 10th Street, Chinatown, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
2.0096,36,2.294016358,1.066293586,3469,1.493327594,1.3,96,-122.26,37.8,"Lake Merritt Boulevard, Civic Center, Oakland, Alameda County, California, 94612, USA","94612, USA",94612,94612,-,-
2.8345,31,3.894915254,1.127966102,2048,1.73559322,1.838,97,-122.26,37.82,"Independent Factory Automotive, Brook Street, Oak Glen Park, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.0062,29,3.681318681,1.175824176,202,2.21978022,1.25,98,-122.26,37.81,"240, Grand Avenue, Adams Point, Oakland, Alameda County, California, 94610, USA","94610, USA",94610,94610,-,-
1.2185,22,2.9456,1.016,2024,1.6192,1.7,99,-122.26,37.82,"Independent Factory Automotive, Brook Street, Oak Glen Park, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.6104,37,3.707142857,1.107142857,1838,1.875510204,1.931,100,-122.26,37.82,"Independent Factory Automotive, Brook Street, Oak Glen Park, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.4912,29,3.7248,1.1312,2304,1.8432,2.578,101,-122.25,37.81,"Fitness SF, Grand Avenue, Grand Lake, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.2177,28,3.878423514,1.070808283,2563,1.712090848,2.734,102,-122.25,37.81,"Fitness SF, Grand Avenue, Grand Lake, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.125,39,3.745614035,1.061403509,389,1.706140351,2.375,103,-122.25,37.81,"Fitness SF, Grand Avenue, Grand Lake, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.5795,52,3.515497553,1.143556281,895,1.460032626,3.5,104,-122.25,37.81,"Fitness SF, Grand Avenue, Grand Lake, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.8406,34,3.281721632,1.069871437,2689,1.503074343,3.357,105,-122.26,37.81,"240, Grand Avenue, Adams Point, Oakland, Alameda County, California, 94610, USA","94610, USA",94610,94610,-,-
4.9306,52,6.18442623,0.922131148,674,2.762295082,3.134,106,-122.24,37.82,"114, Magnolia Avenue, Piedmont, Alameda County, California, 94610, USA","94610, USA",94610,94610,-,-
3.2727,52,4.442982456,1.057017544,709,1.554824561,2.685,107,-122.24,37.81,"Longridge Road, Lakeshore, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.1691,52,4.165876777,1.090047393,686,1.625592417,2.594,108,-122.25,37.81,"Fitness SF, Grand Avenue, Grand Lake, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.9,52,4.848189415,1.045961003,1444,2.011142061,2.757,109,-122.24,37.82,"114, Magnolia Avenue, Piedmont, Alameda County, California, 94610, USA","94610, USA",94610,94610,-,-
3.9063,28,4.16084788,1.066084788,1520,1.895261845,2.25,110,-122.25,37.82,"Mariposa Avenue, Piedmont Avenue, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
5.0917,52,5.628458498,1.14229249,550,2.173913043,2.625,111,-122.25,37.82,"Mariposa Avenue, Piedmont Avenue, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.6429,32,3.727005871,1.074363992,1806,1.767123288,2.185,112,-122.25,37.82,"Mariposa Avenue, Piedmont Avenue, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.0233,26,3.253081348,0.982744454,1749,1.437140509,2.55,113,-122.25,37.82,"Mariposa Avenue, Piedmont Avenue, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.1484,52,4.578034682,1.077071291,939,1.809248555,2.241,114,-122.25,37.83,"John Street, Piedmont Avenue, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.4722,35,3.822274882,1.014218009,675,1.599526066,2.431,115,-122.25,37.83,"John Street, Piedmont Avenue, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.1429,52,4.395189003,0.986254296,534,1.835051546,2.316,116,-122.25,37.83,"John Street, Piedmont Avenue, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
2.4234,28,3.023479831,1.053582179,2558,1.540036123,2.185,117,-122.25,37.83,"John Street, Piedmont Avenue, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
3.0897,52,4.040501446,1.06557377,1786,1.722275796,2.341,118,-122.25,37.83,"John Street, Piedmont Avenue, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
5.8596,50,6.742627346,1.069705094,970,2.600536193,3.276,119,-122.23,37.84,"Dulwich, Upper Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
5.2868,47,6.546391753,0.936082474,1098,2.263917526,3.476,120,-122.23,37.84,"Dulwich, Upper Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
5.956,41,6.85106383,1.079787234,794,2.111702128,3.661,121,-122.24,37.83,"161, Ronada Avenue, Piedmont, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
4.9643,37,7.106382979,1.14893617,98,2.085106383,3.35,122,-122.24,37.85,"CA 24, Upper Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
6.3434,52,6.947890819,1.019851117,1061,2.632754342,3.736,123,-122.23,37.85,"Warren Freeway, Upper Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
5.1773,52,6.358558559,1.034234234,1177,2.120720721,3.895,124,-122.24,37.84,"Broadway Terrace, Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
7.2354,52,7.117166213,0.994550409,901,2.455040872,3.911,125,-122.24,37.85,"CA 24, Upper Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
5.457,28,5.530334728,1.09623431,2031,2.124476987,3.373,126,-122.22,37.85,"PGE Access road, Upper Rockridge, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
7.5,50,6.127348643,0.987473904,1031,2.152400835,2.952,127,-122.22,37.84,"Broadway Terrace, Montclair, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
6.0194,44,5.735343384,1,1358,2.274706868,2.923,128,-122.21,37.84,"Thornhill Drive, Montclair, Oakland, Alameda County, California, 94602, USA","94602, USA",94602,94602,-,-
7.5544,40,7.631498471,1.03058104,1616,2.470948012,4.115,129,-122.21,37.83,"Magellan Drive, Montclair, Oakland, Alameda County, California, 94602, USA","94602, USA",94602,94602,-,-
6.0666,30,6.44606414,1.008746356,844,2.460641399,3.115,130,-122.2,37.84,"Oakwood Drive, Montclair, Oakland, Alameda County, California, 94602, USA","94602, USA",94602,94602,-,-
7.0548,34,6.125,0.987903226,1140,2.298387097,3.259,131,-122.21,37.84,"Thornhill Drive, Montclair, Oakland, Alameda County, California, 94602, USA","94602, USA",94602,94602,-,-
11.6017,18,8.335051546,1.082474227,533,2.74742268,3.926,132,-122.19,37.84,"10 Canyon live oak, Huckleberry Path, Canyon, Contra Costa County, California, 94602, USA","94602, USA",94602,94602,-,-
7.4882,35,6.467268623,1.038374718,1072,2.41986456,3.193,133,-122.2,37.84,"Oakwood Drive, Montclair, Oakland, Alameda County, California, 94602, USA","94602, USA",94602,94602,-,-
6.8976,34,6.61227154,1.028720627,1627,2.124020888,3.333,134,-122.21,37.83,"Magellan Drive, Montclair, Oakland, Alameda County, California, 94602, USA","94602, USA",94602,94602,-,-
8.2049,28,6.978947368,0.968421053,463,2.436842105,3.352,135,-122.19,37.83,"Elderberry Drive, Montclair, Oakland, Alameda County, California, 94602, USA","94602, USA",94602,94602,-,-
8.401,26,7.530805687,1.056872038,542,2.568720379,3.512,136,-122.2,37.83,"Shepherd Canyon Trail, Montclair, Oakland, Alameda County, California, 94602, USA","94602, USA",94602,94602,-,-
6.8538,29,6.657992565,1.007434944,661,2.457249071,3.689,137,-122.19,37.83,"Elderberry Drive, Montclair, Oakland, Alameda County, California, 94602, USA","94602, USA",94602,94602,-,-
8.317,32,6.977186312,1.003802281,635,2.414448669,3.659,138,-122.19,37.82,"Holyrood Drive, Montclair, Oakland, Alameda County, California, 94602, USA","94602, USA",94602,94602,-,-
7.0175,37,6.982954545,1.028409091,420,2.386363636,3.667,139,-122.2,37.82,"Ascot Drive, Montclair, Oakland, Alameda County, California, 94611, USA","94611, USA",94611,94611,-,-
